SourceName,DestinationName,TransactionType,Amount,TransactionId
MAC Bank,KFC Bank, Debit,110,175
XYZ Bank,MAC Bank, Credit,50,176
MAC Bank,ABC Bank, Debit,1520,177
XYZ Bank,ABC Bank, Credit,100,178
ABC Bank,XYZ Bank, Credit,110,179
KFC Bank,MAC Bank, Debit,100,180
MAC Bank,KFC Bank, Debit,110,181
XYZ Bank,MAC Bank, Credit,50,182
MAC Bank,ABC Bank, Debit,1520,183
XYZ Bank,ABC Bank, Credit,100,184
ABC Bank,XYZ Bank, Credit,110,185
KFC Bank,MAC Bank, Debit,100,186
MAC Bank,KFC Bank, Debit,110,187
XYZ Bank,MAC Bank, Credit,50,188
MAC Bank,ABC Bank, Debit,1520,189
XYZ Bank,ABC Bank, Credit,100,190
ABC Bank,XYZ Bank, Credit,110,191
KFC Bank,MAC Bank, Debit,100,192
MAC Bank,KFC Bank, Debit,110,193
XYZ Bank,MAC Bank, Credit,50,194
MAC Bank,ABC Bank, Debit,1520,195
MAC Bank,KFC Bank, Debit,110,196
XYZ Bank,MAC Bank, Credit,50,197
MAC Bank,ABC Bank, Debit,1520,198
XYZ Bank,ABC Bank, Credit,100,199
ABC Bank,XYZ Bank, Credit,110,200
KFC Bank,MAC Bank, Debit,100,201
MAC Bank,KFC Bank, Debit,110,202
XYZ Bank,MAC Bank, Credit,50,203
MAC Bank,ABC Bank, Debit,1520,204
XYZ Bank,ABC Bank, Credit,100,205
ABC Bank,XYZ Bank, Credit,110,206
KFC Bank,MAC Bank, Debit,100,207
MAC Bank,KFC Bank, Debit,110,208
XYZ Bank,MAC Bank, Credit,50,209
MAC Bank,ABC Bank, Debit,1520,210
XYZ Bank,ABC Bank, Credit,100,211
ABC Bank,XYZ Bank, Credit,110,212
KFC Bank,MAC Bank, Debit,100,213
MAC Bank,KFC Bank, Debit,110,214
XYZ Bank,MAC Bank, Credit,50,215
MAC Bank,ABC Bank, Debit,1520,216
XYZ Bank,ABC Bank, Credit,100,217
ABC Bank,XYZ Bank, Credit,110,218
KFC Bank,MAC Bank, Debit,100,219
MAC Bank,KFC Bank, Debit,110,220
XYZ Bank,MAC Bank, Credit,50,221
MAC Bank,ABC Bank, Debit,1520,222
XYZ Bank,ABC Bank, Credit,100,223
ABC Bank,XYZ Bank, Credit,110,224
KFC Bank,MAC Bank, Debit,100,225
MAC Bank,KFC Bank, Debit,110,226
XYZ Bank,MAC Bank, Credit,50,227
MAC Bank,ABC Bank, Debit,1520,228
XYZ Bank,ABC Bank, Credit,100,229
ABC Bank,XYZ Bank, Credit,110,230
KFC Bank,MAC Bank, Debit,100,231
MAC Bank,KFC Bank, Debit,110,232
XYZ Bank,MAC Bank, Credit,50,233
MAC Bank,ABC Bank, Debit,1520,234
XYZ Bank,ABC Bank, Credit,100,235
ABC Bank,XYZ Bank, Credit,110,236
KFC Bank,MAC Bank, Debit,100,237
MAC Bank,KFC Bank, Debit,110,238
XYZ Bank,MAC Bank, Credit,50,239
MAC Bank,ABC Bank, Debit,1520,240
XYZ Bank,ABC Bank, Credit,100,241
ABC Bank,XYZ Bank, Credit,110,242
KFC Bank,MAC Bank, Debit,100,243
MAC Bank,KFC Bank, Debit,110,244
XYZ Bank,MAC Bank, Credit,50,245
MAC Bank,ABC Bank, Debit,1520,246
XYZ Bank,ABC Bank, Credit,100,247
ABC Bank,XYZ Bank, Credit,110,248
KFC Bank,MAC Bank, Debit,100,249
MAC Bank,KFC Bank, Debit,110,250
XYZ Bank,MAC Bank, Credit,50,251
MAC Bank,ABC Bank, Debit,1520,252
XYZ Bank,ABC Bank, Credit,100,253
ABC Bank,XYZ Bank, Credit,110,254
KFC Bank,MAC Bank, Debit,100,255
MAC Bank,KFC Bank, Debit,110,256
XYZ Bank,MAC Bank, Credit,50,257
MAC Bank,ABC Bank, Debit,1520,258
XYZ Bank,ABC Bank, Credit,100,259
ABC Bank,XYZ Bank, Credit,110,260
KFC Bank,MAC Bank, Debit,100,261
MAC Bank,KFC Bank, Debit,110,262
XYZ Bank,MAC Bank, Credit,50,263
MAC Bank,ABC Bank, Debit,1520,264
XYZ Bank,ABC Bank, Credit,100,265
ABC Bank,XYZ Bank, Credit,110,266
KFC Bank,MAC Bank, Debit,100,267
MAC Bank,KFC Bank, Debit,110,268
XYZ Bank,MAC Bank, Credit,50,269
MAC Bank,ABC Bank, Debit,1520,270
XYZ Bank,ABC Bank, Credit,100,271
ABC Bank,XYZ Bank, Credit,110,272
KFC Bank,MAC Bank, Debit,100,273
MAC Bank,KFC Bank, Debit,110,274
XYZ Bank,MAC Bank, Credit,50,275
MAC Bank,ABC Bank, Debit,1520,276
XYZ Bank,ABC Bank, Credit,100,277
ABC Bank,XYZ Bank, Credit,110,278
KFC Bank,MAC Bank, Debit,100,279
MAC Bank,KFC Bank, Debit,110,280
XYZ Bank,MAC Bank, Credit,50,281
MAC Bank,ABC Bank, Debit,1520,282
XYZ Bank,ABC Bank, Credit,100,283
ABC Bank,XYZ Bank, Credit,110,284
KFC Bank,MAC Bank, Debit,100,285
MAC Bank,KFC Bank, Debit,110,286
XYZ Bank,MAC Bank, Credit,50,287
MAC Bank,ABC Bank, Debit,1520,288
XYZ Bank,ABC Bank, Credit,100,289
ABC Bank,XYZ Bank, Credit,110,290
KFC Bank,MAC Bank, Debit,100,291
MAC Bank,KFC Bank, Debit,110,292
XYZ Bank,MAC Bank, Credit,50,293
MAC Bank,ABC Bank, Debit,1520,294
MAC Bank,KFC Bank, Debit,110,295
XYZ Bank,MAC Bank, Credit,50,296
MAC Bank,ABC Bank, Debit,1520,297
XYZ Bank,ABC Bank, Credit,100,298
ABC Bank,XYZ Bank, Credit,110,299
KFC Bank,MAC Bank, Debit,100,300
MAC Bank,KFC Bank, Debit,110,301
XYZ Bank,MAC Bank, Credit,50,302
MAC Bank,ABC Bank, Debit,1520,303
XYZ Bank,ABC Bank, Credit,100,304
ABC Bank,XYZ Bank, Credit,110,305
KFC Bank,MAC Bank, Debit,100,306
MAC Bank,KFC Bank, Debit,110,307
XYZ Bank,MAC Bank, Credit,50,308
MAC Bank,ABC Bank, Debit,1520,309
XYZ Bank,ABC Bank, Credit,100,310
ABC Bank,XYZ Bank, Credit,110,311
KFC Bank,MAC Bank, Debit,100,312
MAC Bank,KFC Bank, Debit,110,313
XYZ Bank,MAC Bank, Credit,50,314
MAC Bank,ABC Bank, Debit,1520,315
XYZ Bank,ABC Bank, Credit,100,316
ABC Bank,XYZ Bank, Credit,110,317
KFC Bank,MAC Bank, Debit,100,318
MAC Bank,KFC Bank, Debit,110,319
XYZ Bank,MAC Bank, Credit,50,320
MAC Bank,ABC Bank, Debit,1520,321
XYZ Bank,ABC Bank, Credit,100,322
ABC Bank,XYZ Bank, Credit,110,323
KFC Bank,MAC Bank, Debit,100,324
MAC Bank,KFC Bank, Debit,110,325
XYZ Bank,MAC Bank, Credit,50,326
MAC Bank,ABC Bank, Debit,1520,327
XYZ Bank,ABC Bank, Credit,100,328
ABC Bank,XYZ Bank, Credit,110,329
KFC Bank,MAC Bank, Debit,100,330
MAC Bank,KFC Bank, Debit,110,331
XYZ Bank,MAC Bank, Credit,50,332
MAC Bank,ABC Bank, Debit,1520,333
XYZ Bank,ABC Bank, Credit,100,334
ABC Bank,XYZ Bank, Credit,110,335
KFC Bank,MAC Bank, Debit,100,336
MAC Bank,KFC Bank, Debit,110,337
XYZ Bank,MAC Bank, Credit,50,338
MAC Bank,ABC Bank, Debit,1520,339
XYZ Bank,ABC Bank, Credit,100,340
ABC Bank,XYZ Bank, Credit,110,341
KFC Bank,MAC Bank, Debit,100,342
MAC Bank,KFC Bank, Debit,110,343
XYZ Bank,MAC Bank, Credit,50,344
MAC Bank,ABC Bank, Debit,1520,345
XYZ Bank,ABC Bank, Credit,100,346
ABC Bank,XYZ Bank, Credit,110,347
KFC Bank,MAC Bank, Debit,100,348
MAC Bank,KFC Bank, Debit,110,349
XYZ Bank,MAC Bank, Credit,50,350
MAC Bank,ABC Bank, Debit,1520,351
XYZ Bank,ABC Bank, Credit,100,352
ABC Bank,XYZ Bank, Credit,110,353
KFC Bank,MAC Bank, Debit,100,354
MAC Bank,KFC Bank, Debit,110,355
XYZ Bank,MAC Bank, Credit,50,356
MAC Bank,ABC Bank, Debit,1520,357
XYZ Bank,ABC Bank, Credit,100,358
ABC Bank,XYZ Bank, Credit,110,359
KFC Bank,MAC Bank, Debit,100,360
MAC Bank,KFC Bank, Debit,110,361
XYZ Bank,MAC Bank, Credit,50,362
MAC Bank,ABC Bank, Debit,1520,363
XYZ Bank,ABC Bank, Credit,100,364
ABC Bank,XYZ Bank, Credit,110,365
KFC Bank,MAC Bank, Debit,100,366
MAC Bank,KFC Bank, Debit,110,367
XYZ Bank,MAC Bank, Credit,50,368
MAC Bank,ABC Bank, Debit,1520,369
XYZ Bank,ABC Bank, Credit,100,370
ABC Bank,XYZ Bank, Credit,110,371
KFC Bank,MAC Bank, Debit,100,372
MAC Bank,KFC Bank, Debit,110,373
XYZ Bank,MAC Bank, Credit,50,374
MAC Bank,ABC Bank, Debit,1520,375
XYZ Bank,ABC Bank, Credit,100,376
ABC Bank,XYZ Bank, Credit,110,377
KFC Bank,MAC Bank, Debit,100,378
MAC Bank,KFC Bank, Debit,110,379
XYZ Bank,MAC Bank, Credit,50,380
MAC Bank,ABC Bank, Debit,1520,381
XYZ Bank,ABC Bank, Credit,100,382
ABC Bank,XYZ Bank, Credit,110,383
KFC Bank,MAC Bank, Debit,100,384
MAC Bank,KFC Bank, Debit,110,385
XYZ Bank,MAC Bank, Credit,50,386
MAC Bank,ABC Bank, Debit,1520,387
XYZ Bank,ABC Bank, Credit,100,388
ABC Bank,XYZ Bank, Credit,110,389
KFC Bank,MAC Bank, Debit,100,390
MAC Bank,KFC Bank, Debit,110,391
XYZ Bank,MAC Bank, Credit,50,392
MAC Bank,ABC Bank, Debit,1520,393
MAC Bank,KFC Bank, Debit,110,394
XYZ Bank,MAC Bank, Credit,50,395
MAC Bank,ABC Bank, Debit,1520,396
XYZ Bank,ABC Bank, Credit,100,397
ABC Bank,XYZ Bank, Credit,110,398
KFC Bank,MAC Bank, Debit,100,399
MAC Bank,KFC Bank, Debit,110,400
XYZ Bank,MAC Bank, Credit,50,401
MAC Bank,ABC Bank, Debit,1520,402
XYZ Bank,ABC Bank, Credit,100,403
ABC Bank,XYZ Bank, Credit,110,404
KFC Bank,MAC Bank, Debit,100,405
MAC Bank,KFC Bank, Debit,110,406
XYZ Bank,MAC Bank, Credit,50,407
MAC Bank,ABC Bank, Debit,1520,408
XYZ Bank,ABC Bank, Credit,100,409
ABC Bank,XYZ Bank, Credit,110,410
KFC Bank,MAC Bank, Debit,100,411
MAC Bank,KFC Bank, Debit,110,412
XYZ Bank,MAC Bank, Credit,50,413
MAC Bank,ABC Bank, Debit,1520,414
XYZ Bank,ABC Bank, Credit,100,415
ABC Bank,XYZ Bank, Credit,110,416
KFC Bank,MAC Bank, Debit,100,417
MAC Bank,KFC Bank, Debit,110,418
XYZ Bank,MAC Bank, Credit,50,419
MAC Bank,ABC Bank, Debit,1520,420
XYZ Bank,ABC Bank, Credit,100,421
ABC Bank,XYZ Bank, Credit,110,422
KFC Bank,MAC Bank, Debit,100,423
MAC Bank,KFC Bank, Debit,110,424
XYZ Bank,MAC Bank, Credit,50,425
MAC Bank,ABC Bank, Debit,1520,426
XYZ Bank,ABC Bank, Credit,100,427
ABC Bank,XYZ Bank, Credit,110,428
KFC Bank,MAC Bank, Debit,100,429
MAC Bank,KFC Bank, Debit,110,430
XYZ Bank,MAC Bank, Credit,50,431
MAC Bank,ABC Bank, Debit,1520,432
XYZ Bank,ABC Bank, Credit,100,433
ABC Bank,XYZ Bank, Credit,110,434
KFC Bank,MAC Bank, Debit,100,435
MAC Bank,KFC Bank, Debit,110,436
XYZ Bank,MAC Bank, Credit,50,437
MAC Bank,ABC Bank, Debit,1520,438
XYZ Bank,ABC Bank, Credit,100,439
ABC Bank,XYZ Bank, Credit,110,440
KFC Bank,MAC Bank, Debit,100,441
MAC Bank,KFC Bank, Debit,110,442
XYZ Bank,MAC Bank, Credit,50,443
MAC Bank,ABC Bank, Debit,1520,444
XYZ Bank,ABC Bank, Credit,100,445
ABC Bank,XYZ Bank, Credit,110,446
KFC Bank,MAC Bank, Debit,100,447
MAC Bank,KFC Bank, Debit,110,448
XYZ Bank,MAC Bank, Credit,50,449
MAC Bank,ABC Bank, Debit,1520,450
XYZ Bank,ABC Bank, Credit,100,451
ABC Bank,XYZ Bank, Credit,110,452
KFC Bank,MAC Bank, Debit,100,453
MAC Bank,KFC Bank, Debit,110,454
XYZ Bank,MAC Bank, Credit,50,455
MAC Bank,ABC Bank, Debit,1520,456
XYZ Bank,ABC Bank, Credit,100,457
ABC Bank,XYZ Bank, Credit,110,458
KFC Bank,MAC Bank, Debit,100,459
MAC Bank,KFC Bank, Debit,110,460
XYZ Bank,MAC Bank, Credit,50,461
MAC Bank,ABC Bank, Debit,1520,462
XYZ Bank,ABC Bank, Credit,100,463
ABC Bank,XYZ Bank, Credit,110,464
KFC Bank,MAC Bank, Debit,100,465
MAC Bank,KFC Bank, Debit,110,466
XYZ Bank,MAC Bank, Credit,50,467
MAC Bank,ABC Bank, Debit,1520,468
XYZ Bank,ABC Bank, Credit,100,469
ABC Bank,XYZ Bank, Credit,110,470
KFC Bank,MAC Bank, Debit,100,471
MAC Bank,KFC Bank, Debit,110,472
XYZ Bank,MAC Bank, Credit,50,473
MAC Bank,ABC Bank, Debit,1520,474
XYZ Bank,ABC Bank, Credit,100,475
ABC Bank,XYZ Bank, Credit,110,476
KFC Bank,MAC Bank, Debit,100,477
MAC Bank,KFC Bank, Debit,110,478
XYZ Bank,MAC Bank, Credit,50,479
MAC Bank,ABC Bank, Debit,1520,480
XYZ Bank,ABC Bank, Credit,100,481
ABC Bank,XYZ Bank, Credit,110,482
KFC Bank,MAC Bank, Debit,100,483
MAC Bank,KFC Bank, Debit,110,484
XYZ Bank,MAC Bank, Credit,50,485
MAC Bank,ABC Bank, Debit,1520,486
XYZ Bank,ABC Bank, Credit,100,487
ABC Bank,XYZ Bank, Credit,110,488
KFC Bank,MAC Bank, Debit,100,489
MAC Bank,KFC Bank, Debit,110,490
XYZ Bank,MAC Bank, Credit,50,491
MAC Bank,ABC Bank, Debit,1520,492
MAC Bank,KFC Bank, Debit,110,493
XYZ Bank,MAC Bank, Credit,50,494
MAC Bank,ABC Bank, Debit,1520,495
XYZ Bank,ABC Bank, Credit,100,496
ABC Bank,XYZ Bank, Credit,110,497
KFC Bank,MAC Bank, Debit,100,498
MAC Bank,KFC Bank, Debit,110,499
XYZ Bank,MAC Bank, Credit,50,500
MAC Bank,ABC Bank, Debit,1520,501
XYZ Bank,ABC Bank, Credit,100,502
ABC Bank,XYZ Bank, Credit,110,503
KFC Bank,MAC Bank, Debit,100,504
MAC Bank,KFC Bank, Debit,110,505
XYZ Bank,MAC Bank, Credit,50,506
MAC Bank,ABC Bank, Debit,1520,507
XYZ Bank,ABC Bank, Credit,100,508
ABC Bank,XYZ Bank, Credit,110,509
KFC Bank,MAC Bank, Debit,100,510
MAC Bank,KFC Bank, Debit,110,511
XYZ Bank,MAC Bank, Credit,50,512
MAC Bank,ABC Bank, Debit,1520,513
XYZ Bank,ABC Bank, Credit,100,514
ABC Bank,XYZ Bank, Credit,110,515
KFC Bank,MAC Bank, Debit,100,516
MAC Bank,KFC Bank, Debit,110,517
XYZ Bank,MAC Bank, Credit,50,518
MAC Bank,ABC Bank, Debit,1520,519
XYZ Bank,ABC Bank, Credit,100,520
ABC Bank,XYZ Bank, Credit,110,521
KFC Bank,MAC Bank, Debit,100,522
MAC Bank,KFC Bank, Debit,110,523
XYZ Bank,MAC Bank, Credit,50,524
MAC Bank,ABC Bank, Debit,1520,525
XYZ Bank,ABC Bank, Credit,100,526
ABC Bank,XYZ Bank, Credit,110,527
KFC Bank,MAC Bank, Debit,100,528
MAC Bank,KFC Bank, Debit,110,529
XYZ Bank,MAC Bank, Credit,50,530
MAC Bank,ABC Bank, Debit,1520,531
XYZ Bank,ABC Bank, Credit,100,532
ABC Bank,XYZ Bank, Credit,110,533
KFC Bank,MAC Bank, Debit,100,534
MAC Bank,KFC Bank, Debit,110,535
XYZ Bank,MAC Bank, Credit,50,536
MAC Bank,ABC Bank, Debit,1520,537
XYZ Bank,ABC Bank, Credit,100,538
ABC Bank,XYZ Bank, Credit,110,539
KFC Bank,MAC Bank, Debit,100,540
MAC Bank,KFC Bank, Debit,110,541
XYZ Bank,MAC Bank, Credit,50,542
MAC Bank,ABC Bank, Debit,1520,543
XYZ Bank,ABC Bank, Credit,100,544
ABC Bank,XYZ Bank, Credit,110,545
KFC Bank,MAC Bank, Debit,100,546
MAC Bank,KFC Bank, Debit,110,547
XYZ Bank,MAC Bank, Credit,50,548
MAC Bank,ABC Bank, Debit,1520,549
XYZ Bank,ABC Bank, Credit,100,550
ABC Bank,XYZ Bank, Credit,110,551
KFC Bank,MAC Bank, Debit,100,552
MAC Bank,KFC Bank, Debit,110,553
XYZ Bank,MAC Bank, Credit,50,554
MAC Bank,ABC Bank, Debit,1520,555
XYZ Bank,ABC Bank, Credit,100,556
ABC Bank,XYZ Bank, Credit,110,557
KFC Bank,MAC Bank, Debit,100,558
MAC Bank,KFC Bank, Debit,110,559
XYZ Bank,MAC Bank, Credit,50,560
MAC Bank,ABC Bank, Debit,1520,561
XYZ Bank,ABC Bank, Credit,100,562
ABC Bank,XYZ Bank, Credit,110,563
KFC Bank,MAC Bank, Debit,100,564
MAC Bank,KFC Bank, Debit,110,565
XYZ Bank,MAC Bank, Credit,50,566
MAC Bank,ABC Bank, Debit,1520,567
XYZ Bank,ABC Bank, Credit,100,568
ABC Bank,XYZ Bank, Credit,110,569
KFC Bank,MAC Bank, Debit,100,570
MAC Bank,KFC Bank, Debit,110,571
XYZ Bank,MAC Bank, Credit,50,572
MAC Bank,ABC Bank, Debit,1520,573
XYZ Bank,ABC Bank, Credit,100,574
ABC Bank,XYZ Bank, Credit,110,575
KFC Bank,MAC Bank, Debit,100,576
MAC Bank,KFC Bank, Debit,110,577
XYZ Bank,MAC Bank, Credit,50,578
MAC Bank,ABC Bank, Debit,1520,579
XYZ Bank,ABC Bank, Credit,100,580
ABC Bank,XYZ Bank, Credit,110,581
KFC Bank,MAC Bank, Debit,100,582
MAC Bank,KFC Bank, Debit,110,583
XYZ Bank,MAC Bank, Credit,50,584
MAC Bank,ABC Bank, Debit,1520,585
XYZ Bank,ABC Bank, Credit,100,586
ABC Bank,XYZ Bank, Credit,110,587
KFC Bank,MAC Bank, Debit,100,588
MAC Bank,KFC Bank, Debit,110,589
XYZ Bank,MAC Bank, Credit,50,590
MAC Bank,ABC Bank, Debit,1520,591
MAC Bank,KFC Bank, Debit,110,592
XYZ Bank,MAC Bank, Credit,50,593
MAC Bank,ABC Bank, Debit,1520,594
XYZ Bank,ABC Bank, Credit,100,595
ABC Bank,XYZ Bank, Credit,110,596
KFC Bank,MAC Bank, Debit,100,597
MAC Bank,KFC Bank, Debit,110,598
XYZ Bank,MAC Bank, Credit,50,599
MAC Bank,ABC Bank, Debit,1520,600
XYZ Bank,ABC Bank, Credit,100,601
ABC Bank,XYZ Bank, Credit,110,602
KFC Bank,MAC Bank, Debit,100,603
MAC Bank,KFC Bank, Debit,110,604
XYZ Bank,MAC Bank, Credit,50,605
MAC Bank,ABC Bank, Debit,1520,606
XYZ Bank,ABC Bank, Credit,100,607
ABC Bank,XYZ Bank, Credit,110,608
KFC Bank,MAC Bank, Debit,100,609
MAC Bank,KFC Bank, Debit,110,610
XYZ Bank,MAC Bank, Credit,50,611
MAC Bank,ABC Bank, Debit,1520,612
XYZ Bank,ABC Bank, Credit,100,613
ABC Bank,XYZ Bank, Credit,110,614
KFC Bank,MAC Bank, Debit,100,615
